alpha_0,alpha_1,beta_0,beta_1,$\sigma$,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28
-0.00027575610211724803,0.16116490628298774,0.09934209837908471,0.2119630011090462,0.010587924207926227,-0.008097191891591353,0.0018006409825983896,0.004451696744937819,-0.00036179271091776356,-0.02727984647932652,-0.01326569089339736,-0.015916073363974204,-0.0066261571097152635,-0.01854912888984322,-0.008044533697768643,-0.0008485344108262512,-0.019413313348173,-0.015179444404089247,-0.00863146159961147,0.007953685587230577,-0.007594291628752819,-0.015549561362715946,-0.03139472177183861,-0.006368196827621028,0.005048936663526195,-0.019964668869825758,-0.016171819635566693,0.0009579662568188497,-0.019450779793504465,-0.004320606342023803,-0.012023802830601227,-0.022080535803869133,-0.012001724836449547,-0.010146035429556778
-0.0044079919759299506,-0.021932945247551794,0.19855247156390823,0.12257919966168626,0.009970530217529881,-0.014421203565191353,-0.02426259853272117,-0.02761097579158441,-0.0338805532456913,-0.006526132254646699,-0.013741312764933409,-0.0070440967655680834,-0.011822465637423514,-0.006448076265838522,-0.013447740271394677,-0.008026132585258751,-0.0031212300752931402,-0.007844367149906911,-0.013991103970189015,-0.03254969515971958,-0.0234982546130099,-0.0068721989275214975,0.009913894729295488,-0.006288314023138671,-0.02207366832353854,-0.004831232107426033,0.004851603489368296,-0.020526679053410657,0.00045186710166626926,-0.013404974262889304,-0.007677708758775358,-0.029551274252733295,0.001617659633463744,-0.010470458269053916
-0.001112463246132267,0.017577699336455206,0.2089826238596092,0.08293590524477254,0.00998684567411813,-0.017895347927686534,-0.0204059127715498,-0.016225422143757204,-0.017919224477838894,0.0033034816218447936,-0.01776151090009336,-0.006448299324424041,-0.015022098440869837,-0.006090189893113686,-0.017406890775868305,-0.01741967294421063,-0.019737823514570853,-0.01690177803488415,-0.00999266711894127,-0.03531250641676196,-0.027972429024687964,-0.0076927184829504915,0.017244497827089034,-0.008375715648176183,-0.020294735144949498,-0.020722419774165817,0.012194311646062037,-0.02320724820419677,-0.006968515964697815,-0.010066333176707833,-0.01101915768656744,-0.025187579753774128,-0.003323462798882244,-0.017844965132153553
-0.0021584260908419344,0.11048781920362948,0.030448979419517838,0.18381128950396228,0.012005707761309919,-0.0084252663199308,-0.007666002151833582,-0.013712400996376104,-0.004598976657070668,-0.03391371240387685,-0.009208011841336136,-0.024500265709306978,-0.014897490713020633,-0.016736181254642928,-0.0016880480040300052,-0.012309452373587998,-0.017211382302448827,-0.006637704603005358,-0.012928591603092884,0.000628303835334594,0.010760465488035246,-0.01502726117944662,-0.02934841223608657,-0.014839287114879288,0.012082309260969811,0.002767805678460766,-0.03632890296207225,-0.0022881040202451827,-0.013337890054886788,0.003201452741303052,-0.006333523990630905,0.0041402255261727,-0.015332164388449265,-0.001022851089649359
-0.0007907644110672399,0.16017496249023855,0.02776127076796732,0.3060580720452791,0.01094166945864822,-0.01694374572919335,-0.007478133395548556,-0.003134812047542814,-0.008467437132328677,-0.02713771263079684,0.0007436448541792457,0.0010485088018163543,-0.014977553487159569,-0.015334768034220115,-0.03345049907010992,-0.025303261265662316,-0.017526868702270538,-0.015900550336177682,0.004166723952429774,-0.0047957947741558435,-0.0048504484156665535,-0.024740968858443332,-0.014164060256974342,0.0030483884730590776,0.014011973423952878,-0.021096103196580666,-0.004408296930826252,-0.01082696601979105,-0.004334855176328289,0.012622707727993851,-0.010526069297766767,-0.022017456599544565,-0.020812085845515506,-0.008023726872584867
-0.0044026902276462325,-0.07545138313653495,0.14662086091825186,0.2146534173478441,0.011657288254651225,-0.018597932532174143,-0.02271486061204183,-0.0259489150553427,-0.03443735352508343,0.00553349131681133,-0.03430673006831445,-0.030355768504783536,-0.010857403602798573,-0.012934597979737833,0.008628485578328864,-0.008771985879945479,-0.011484707307640857,-0.013914536243686389,-0.03358087884828771,-0.03287688295073071,-0.028204512434097398,0.0006814087309034271,-0.011950106652182223,-0.017548990985654142,-0.042194984461837275,-0.009872878038314076,-0.014951816314172995,-0.014541593569076009,-0.019239575362949003,-0.03553532087614684,-0.013636199815912917,-0.02863588310171263,-0.00013081768862202917,-0.005767054466986146
-0.002603747346851446,-0.030043558767148097,0.047507034400894065,0.24326454783802823,0.010631318333042627,-0.01717850581561947,-0.012672281485542685,-0.009855013383732226,-0.0011006928354860787,-0.03817446867687123,-8.7842038801042e-05,-0.006135913196980229,-0.02057020697014851,-0.016248098678070096,-0.03984770791336309,-0.02488272419399775,-0.017316198018335276,-0.024191577304824068,0.012449160087597414,-0.011627089099337823,-0.0061944457156972955,-0.03327808029178787,-0.02003679991106088,-0.009926904504409417,-0.00490497829751736,-0.016942495802882915,-0.012161856554026691,-0.010931080933608754,-0.012906927062205704,0.010566074066537512,-0.012914631459825934,0.0060121856432306334,-0.022477875101670812,-0.020113581316363465
-0.001690437154188043,0.11826724065784806,0.1445170608284788,0.2134820180020258,0.010941206482181068,-0.01717554295309805,-0.01591170065880932,-0.017256255136595736,-0.02887172770071991,0.007423520449474986,-0.027682762930067818,-0.02513505516131143,-0.015530169739462592,-0.013404757055642806,0.006604805217142604,-0.002881083008412502,-0.00224958362245279,-0.0014854069963532593,-0.033360513489186644,-0.01974740933735664,-0.021690597150607897,0.013336676929218551,-0.01810481165677821,-0.0154106806355506,-0.03937469530610714,-0.009093889176555006,-0.01744367182271504,-0.00523835519378373,-0.010703952984282701,-0.034912333590098474,-0.009772800638226945,-0.023637996662899126,-0.001112797671546133,0.006075549655854185
-0.0011411674725254888,0.10687045232245813,0.03176503028745148,0.31559148710250884,0.009969265302133152,-0.01870218637243186,-0.016325118607929956,-0.015254182095121529,-0.007726601081026217,-0.03557823847384894,0.00012976555475096484,-0.00666429569444292,-0.016877272595812332,-0.016480974568972292,-0.03373104538286534,-0.02065662609010384,-0.025807550440758987,-0.03168388642193556,0.002044064598886259,-0.014463279621365687,-0.006178778856410242,-0.03789275048489014,-0.012717487619111336,-0.022872010071420115,0.014980025572565786,-0.011603971463654255,-0.004700423400549835,-0.01940960377856743,-0.01453063715449265,0.007934340828728178,-0.014959014678004931,-0.006942346499213741,-0.022721851624092182,-0.02477272485768271
-0.001655475106399329,0.1364246970284854,-0.009071807215105133,0.27484403720105,0.012238652537090802,-0.009397695384727444,-0.03773225094786072,-0.016429932590703758,-0.03298707098669605,0.005980003811675768,-0.03378752152039604,-0.016501975466131205,-0.012374822180365614,-0.011151312589664389,-0.0031056335531135654,-0.009859304587703708,-0.002479583907439262,0.003754860160072391,-0.035310452063965825,-0.022225628701456394,-0.027485884749009835,0.01637200859593125,-0.01923052044435102,-0.003175801692681253,-0.023928736586332433,-0.014988206981580795,-0.02152588242093091,-0.010724069627458012,-0.0036431923338239953,-0.021454855470703728,-0.022901927207771122,-0.020675711557753235,-0.010768113397259076,-0.013980181694810431
0.0005321534438276662,0.10906052370062469,0.017947533909859027,0.29636959766013354,0.010484180200743414,0.007547832128328515,-0.00725189333254243,0.004778030513059715,-0.0037873082632777564,0.001436291150301584,-0.016457466110809067,-0.006056907392449628,0.0054185847831615995,-0.0033047646824037233,-0.006298979665536226,-0.02425460140499044,0.005746385105061964,0.000599240418619843,-0.003720463904953441,-0.028885361728543897,-0.020601368961850827,-0.0010463284401872478,-0.006410696883804752,0.006008666410155435,-0.009620200272439027,-0.017826103851531556,0.002240838990579608,-0.0033529080118212848,-0.006073006015739402,0.007895521632569286,-0.037650678064999374,-0.0068921369878309656,-0.018934777900598523,-0.0019061012693511817
-0.0020128705542446653,0.13445677928264008,0.1670092434955615,0.14377240093179552,0.011113251132164142,-0.008985365633391987,-0.012335400739666654,-0.011795883327080545,-0.016815978807715962,-0.011584826426328484,-0.020730223605193682,-0.01428559291830237,-0.006066426286684662,-0.0032914479473509684,-0.0119168506648128,-0.034695074113501326,-0.02922415117911557,0.002727177248583382,-0.019085922268808835,0.006138176088777205,-0.010369120505555902,-0.013848378492736435,-0.012561575126629296,-0.0015114077857403918,-0.0078409137415649,-0.017144248982230076,-0.011400699464419328,-0.005894021160949244,-0.017828589736104662,-0.03519553419349424,-0.012165204014190335,-0.016516920963370273,-0.009122897052864067,0.0006016637413052794
-0.00030488704472450773,0.07710801845329646,0.10841028447496631,0.20718490110996993,0.009312951501819391,-0.011781574876599027,-0.015741066621887886,-0.01633364483883195,-0.01988283401866199,-0.012179991594716971,-0.00529041513934641,-0.013121464603673716,-0.018029424563214127,-0.022903293412342797,-0.011354111152794515,0.009451882555839102,-0.0016951559461626695,-0.031166640209904416,-0.006862140041329684,-0.03147970433146843,0.0021133364905378304,-0.014851799453158395,-0.012022039203808295,-0.025443684294800924,-0.01657278504729576,-0.009376330189115113,-0.022966575540447995,-0.01614648126086694,-0.005459751608616667,0.01003290709330431,-0.014745608125910123,-0.011203981016720547,-0.013258035438635254,-0.020835922555858248
0.0030624765464172415,-0.08240018167703876,-0.051451377595548305,0.3207472357435484,0.011786850027838518,-0.021298495744337242,0.007722435359214927,-0.017241927096310835,-0.007903478581577679,0.008669491516925126,-0.015245950297548428,-0.01785942315625029,-0.013235685198973477,-0.00389898422836325,-0.015016322719078224,0.0040141142630875735,-0.012367793008408588,-0.027246595732936533,-0.013346033908860154,0.012939747977366418,-0.010162507151453191,-0.001381742400548132,-0.0018273522708119846,-0.014810066860875451,0.0008979878448435291,-0.017321409901077247,-0.0181442371082352,-0.010027036880174544,-0.02217329877302938,-0.025834463562035784,-0.011598853502633701,-0.01217642127119306,-0.0016450028824999243,0.007577170811962975
0.002707817168262309,0.049812552503863544,-0.03785760635427287,0.35767312288452663,0.010215238649481435,-0.006276505060750937,-0.001943988452809718,-0.0196215307834377,-0.009411224436005266,-0.008759817787995176,-0.025802371135985804,-0.012704896136257682,-0.020547722163621013,-0.013933729552043198,-0.0048421192429275684,-0.007966513065569301,0.0030956239256619794,-0.013323008996026156,-0.011757157083900913,0.014965605003385365,-0.011209203811078261,0.0022652371299367417,-0.0009260791392998929,0.009114190683329578,-0.007047889145009704,-0.005548946252296559,-0.018885833655644228,-0.01809939421324219,-0.013363986108676267,-0.024025102512250013,-0.004983881815081205,-0.00040909049181063516,-0.007317744372957768,0.0007367242591376258
