alpha_0,alpha_1,beta_0,beta_1,$\sigma$,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38
-0.0036963234604750674,0.025352618231018295,0.04272409058171158,0.6156783104938197,0.011502097827564683,-0.03391367255756412,-0.018466559568904497,-0.043373156418919485,-0.021179304832700793,-0.02918714206942465,-0.018137244792445138,-0.03406854392902132,-0.017473425554404662,-0.030349405846259694,-0.04327181249033317,-0.023140779930350103,-0.01747397950212697,-0.017954193772967773,-0.018068857798234226,-0.010596981011461665,-0.012939301443804996,-0.010438827907287965,-0.020633648435497205,-0.007673928882312885,-0.030374116172585494,-0.014137574662384985,-0.04859112926601983,-0.025295824653250046,-0.026099731361385846,-0.00621084972678045,-0.014876155119241275,-0.012678574387512517,-0.022135661372947733,-0.016766689489671815,-0.01438337639750849,0.0024868764291050773,0.0003279108537077675,-0.00720425900527817,-0.006925853505027926,-0.009259479859017965,-0.019796328547582554,-0.0179585767946981,-0.02357318068630885,0.0010919115895082604
-0.007036430641262202,0.09016396152005074,0.09285881442958414,0.4435176448197512,0.010760935521397235,-0.02101657781367799,-0.041646830537346774,-0.02148595554073963,-0.020423317068804632,-0.033043195151620956,-0.012198513681630939,-0.018133332054680103,-0.032183717680739174,-0.020989849348111437,-0.015297774982348532,-0.011925794088253993,-0.02656830494541353,-0.026161465797488393,-0.022219365768775208,-0.01090841745137789,-0.04283241028288864,-0.03315643341780863,-0.016157382388912837,-0.04405257359424408,-0.028736241909889017,-0.02457361179152991,0.005648162416131696,-0.010034175159657753,-0.02162187457754623,-0.03280229864443019,-0.028811267477519744,-0.022332105714544907,-0.016508365454386158,-0.007409906917911129,-0.013230843892725138,-0.021726258523056496,-0.008316097760075788,-0.01897962597754612,-0.00725636529005054,-0.0001937224431488109,-0.010387524346845655,-0.005583043222742613,0.010359331626717521,-0.025339045728462836
-0.00197261264377148,0.12633248618288612,0.10344686892426058,0.4748156343218399,0.010692003928742323,-0.020442038010985944,-0.025424657390336707,-0.018056476198333286,-0.03315241371881263,-0.02738211890732977,-0.010015068602839563,-0.027293469520117294,-0.03915088560115417,-0.029058048479713713,-0.015885800629804936,-0.03875361975608864,0.0020548282510320873,-0.016358018713451255,-0.028397008439562818,-0.009846302203443283,-0.011385713832097003,-0.009427982795766515,-0.02025015320232126,-0.017490937147759116,-0.022798160601258288,-0.01378163303367633,-0.04138209112443538,-0.021508129384914306,-0.015990244734410686,-0.010022647721060412,-0.00860955911144999,-0.02467561045917599,-0.019683980064811632,-0.005845755004642465,-0.004032508433992661,-0.004028294519766102,0.009357752773558714,0.009675672321054955,-0.005050061459297411,-0.0011659059398411008,0.003967653561568248,-0.00781465098905468,-0.008627438341193306,0.005139454589909564
-0.005711145962465498,0.2648760022559842,0.015630527304454644,0.4227150402691685,0.011294195025872672,-0.01597281317885664,-0.020079934477694468,-0.025682089176091438,-0.010614397150270656,-0.015756908793393844,-0.03359877056160909,-0.014357033291199478,0.003429312256186531,-0.01225525541528968,-0.03152536202532632,0.002711237345996227,-0.03708820492434363,-0.020880448713079872,-0.010373806153579704,-0.024458575335791585,-0.036834185638589576,-0.018689489577698306,-0.012034341440141375,-0.009743438902291818,-0.007020121457901032,-0.01782398391581294,0.016983945215490234,-0.005855587680376393,-0.012089253513976581,-0.019566912642778617,-0.020313221251654395,0.0012977560516395875,-0.0024147037840743383,-0.014688290526477089,-0.018959908047877276,-0.010445269236019983,-0.031741025840050834,-0.02375821001018315,-0.010662188093535486,-0.013077434523864706,-0.0258756059715329,-0.0031665704661212896,-0.005250957068881419,-0.01678832908091137
-0.0025320030114429925,0.09768772847386986,0.0002764679945723345,0.6622802756652694,0.015217702964601055,-0.021741456550767223,-0.034026537075269106,-0.02059086772743801,-0.01216973078396071,-0.04163147646102553,-0.04177060607665266,-0.019329924586945255,-0.031458119836913774,-0.04349267202537663,0.009986945190824,-0.0045609789985898656,-0.011968024156740689,-0.012000445369671544,0.006066769222385762,-0.013232097300304052,0.0038940173744725012,-0.017247888052552774,0.0010347152369117227,-0.014682578393403839,-0.031155921935030858,-0.04373909152965822,0.0026295699837439795,0.012237182717540169,-0.04962802864678298,0.007722221494566357,-0.016341382778808807,0.009887146271936391,0.004320088328136268,-0.018404799616533647,-0.0009805314930708964,-0.015355881458673516,-0.03319214270746688,-0.0058113633330726285,0.005237797204892498,0.007389791863295145,-0.0023669128176923675,-0.008291125816622561,0.005829084101449724,-0.01682669907086641
-0.005245533392498346,0.1827845916228061,0.110524979642662,0.44044828173593226,0.009310709469313299,-0.019292665442645043,-0.017290877621537422,-0.018185597187213402,-0.02094937802509643,-0.006496748016922015,0.002382311713595377,-0.017936620349151278,-0.008507024493732586,0.001714800529821828,-0.03726063172363724,-0.023432105449589586,-0.01827531128904697,-0.024944622671423625,-0.03548013008743066,-0.018755847882626978,-0.028499348606817625,-0.013155469042610083,-0.020280186979179687,-0.01781766463071632,-0.004762910621467247,0.007852112395509292,-0.02551743385264412,-0.03237367792956167,0.018344214750983523,-0.023792485090883244,-0.009711149306784825,-0.014870923155988898,-0.021871808224187977,-0.0039046484043113935,-0.01469113144745053,-0.0027093799574359175,0.018074692982858874,-0.006462893832101721,-0.011770019204199638,-0.015022497715084352,-0.007386072364654878,-0.001678544163615332,-0.008614857035788695,0.007584947129686478
-0.0034393362102678043,0.20525070868375817,0.01954023224322127,0.5483869809993951,0.012283589708027507,-0.0144523771370907,-0.015854021300296037,-0.02695059828065211,-0.0077552981958991084,-0.041142508347295784,-0.02493739780560996,-0.018609448060369415,-0.03963408880197219,-0.027350236541275677,-0.009544792848147403,-0.00979545909467734,-0.019680378976637772,-0.026024765333966464,0.0024851715475967067,-0.010506073277657868,0.006319723790770965,-0.00403532820866946,-0.012901302596368382,-0.005361647305491691,-0.03030218609187568,-0.033927021787995934,-0.01487512026761917,-0.009464574421845923,-0.03711423189345364,0.005995262763811545,-0.021547420873853893,0.0035726617205577545,-0.014997679026292971,-0.013364769276895875,-0.02575096723880361,-0.002634460112828606,-0.02342391172905855,-0.019822958535612868,0.0058480394267748015,0.0074097173829127255,-0.016220899251789142,-0.02276949251124773,-0.0054773717890137085,0.003945927293905473
-0.002346431578134409,0.21096529346550646,0.03924563066217643,0.5143400055127219,0.009018465543791898,-0.024784596194544713,-0.020381153663715432,-0.024794798219006146,-0.0060680844367413415,-0.044091117489062484,-0.01581410654922874,-0.02265211832117914,-0.023559258230159977,-0.01074286221447136,-0.007983191629018404,-0.018602317815033572,-0.018803046153266147,-0.015355806381889839,-0.03222945824473138,-0.015285190155669521,-0.027969080098685265,-0.019526720197480026,-0.009434799006039439,-0.019750881631388474,-0.029290734959357197,-0.014211996792217909,0.00687084533792033,0.0037566578877545895,-0.005744808090022615,-0.009972996290354747,-0.011216311416449309,0.003849741221138501,0.0022272214361069667,-0.0031528286472534903,-0.00015220056166954173,-0.013004640386654113,-0.005239692826968101,0.006875849139383534,-0.00520240720738915,0.01743265214043151,-0.0009219472430536937,0.0065818954095322015,0.016057299483804965,-0.0014087431480243222
-0.0025743246176637407,0.18196267478398415,0.13162789315773976,0.3315294488549202,0.011906042659984864,-0.009938686979418136,-0.005300774477652464,-0.009450471842508084,-0.025829547605330006,0.0012681853488860483,-0.025385609119823366,-0.010737230556395083,-0.008251879022415972,-0.01989554434771931,-0.014977039470578185,-0.01241669570878802,-0.03460377160964158,-0.01390131523461129,-0.005068282968838034,-0.016286209860105094,0.0041955027103160415,-0.004113536125743182,-0.01445024228382653,0.013922977974123011,-0.0010887307659227757,-0.0058237100823202515,-0.02315880804153258,-0.013475597859447835,-0.008226500308456508,-0.00501319517259297,-0.0011134987707580564,-0.005521971232033136,-0.009135156700138862,-0.009916235316399414,-0.007991203329343038,-0.019657571506897526,-0.0070693847610056905,-0.020001059779067708,-0.0111679678372142,-0.019532687056086483,0.002896476004616475,-0.011019160816429743,-0.0009057207718779906,0.00023105207632097337
-0.0031950336602736824,0.12536951371330557,0.13350535537220426,0.2934982725132896,0.01116845162141781,0.001215427365770229,-0.0045045998858271145,0.003730746876289632,-0.03346071170437386,-0.006898335087637125,-0.025721627905171896,-0.007608903626283545,-0.009063623968753409,-0.016437369027506636,-0.013455333332089297,-0.023169812001168924,-0.03140512930587568,-0.013599773988625016,0.006999930459145894,-0.008841587491406788,-0.005368721104323149,-0.005426015697609413,-0.022099679991175826,-0.004750833140042701,-0.005599923939390586,-0.02042891393859063,-0.02416448030982755,-0.009747538138128772,-0.008864983757204202,-0.013721318498766504,0.0015104376126349904,-0.008435298866506189,-0.011613137862466778,-0.008179826780999896,-0.016240737696980524,-0.028872882665492476,-0.001777593090327555,-0.013520509325122854,-0.012465204090399347,-0.01633060896661269,-0.0007620537480256067,-0.01067061974251016,-0.0022363047457800355,0.0018444188571502859
