alpha_0,alpha_1,beta_0,$\sigma$
0.00383813463964264,0.043942623936985954,0.19181203665221994,0.013822911179657818
0.003397398182804833,0.1280291606555869,0.24369767194332492,0.015888952522331506
0.0037505535612122128,0.31434724234329336,0.2689502395682669,0.013093807042932545
0.004992195733568185,-0.06792468471220613,0.17111701932786355,0.010926526466431023
0.00277968022991928,0.22198723074626622,0.29134502827914915,0.01574743626289103
0.007041188514349161,-0.031837879248977116,0.08649508262042761,0.011339535900705624
0.004582463639640434,0.39500613857703987,0.14797865504101498,0.015493346972117027
0.005035094165496931,0.26152444672213704,0.17240713574823796,0.012681566137604882
0.005457172695261956,0.03195631899434545,0.3056723918782419,0.015028138572609939
0.008664259451136165,0.11802577128545534,0.19061517421802246,0.013192078424004485
0.008145270845789148,0.09050380922334224,0.17650513480434574,0.012691504779301413
0.004401600277574649,0.21822292655199108,0.18826209694274054,0.014669008140619713
0.004780987784818172,0.11320809884339332,0.2414922326348139,0.012589140365490399
0.004766394733348378,0.10108933877556191,0.22123566773158787,0.012284435152439805
0.008238449706591173,0.06609740782817097,0.19099100747895179,0.014612700076663912
0.003821325494041126,0.1987437702236146,0.2006984215529353,0.013012992840724925
0.006436655522747119,0.18637666787355409,0.1667395989855373,0.01232774815035191
0.00790105044391759,0.2440733883295177,0.23895720537906195,0.021101497154516355
0.005828211602153399,0.15121289561990428,0.14484168670889372,0.012709213309170806
0.006412466651479505,0.16526289547948603,0.11454445779531529,0.016408700385109203
0.003627018069119319,0.1826758878530207,0.20576830188087689,0.010557071700056793
0.00638783951907375,0.1316877705483042,0.1774062259527625,0.01447612222741397
0.005626236166377958,0.13691728937855094,0.1608124892286242,0.01377794720197582
0.005626236166377958,0.13691728937855094,0.1608124892286242,0.01377794720197582
0.005542656652951413,0.1584043063863843,0.1583177668806921,0.013599639198807106
0.005542656652951413,0.1584043063863843,0.1583177668806921,0.013599639198807106
0.005542656652951413,0.1584043063863843,0.1583177668806921,0.013599639198807106
0.005542656652951413,0.1584043063863843,0.1583177668806921,0.013599639198807106
0.005542656652951413,0.1584043063863843,0.1583177668806921,0.013599639198807106
0.005542656652951413,0.1584043063863843,0.1583177668806921,0.013599639198807106
0.005710225391803107,0.14822113480794097,0.1550932758970525,0.013717658042999181
0.007219643390366581,0.16393617295906848,0.11181260966210455,0.01349058917870166
0.00752045824898857,0.16690276142095953,0.08970208000456785,0.013988702385785255
0.006804159205123255,0.13823371811650378,0.06484407408911727,0.01370752002602853
0.006804159205123255,0.13823371811650378,0.06484407408911727,0.01370752002602853
0.006614225953999868,0.14217828394541784,0.06469835622552385,0.013928188728240615
0.006729233704472707,0.13941555601966307,0.06380682630107651,0.013731128600299753
0.006435747919515295,0.12571432289046716,0.05694657868003803,0.01369940234943974
0.0064486288581470635,0.13236961065570393,0.04720671441355016,0.013692007406542993
0.006170550225070995,0.2682290995688237,0.19528158408824647,0.01438367248853695
0.005821696078453243,0.15920494992410042,0.21988955964779724,0.011644679071267013
0.0012521613245566729,-0.027973282495280832,0.20256410154767684,0.01512886554718259
0.00550961323175515,0.2569206872385185,0.17737527086020893,0.013702302450147951
0.007167907870061656,-0.142853434992908,0.21893243215277425,0.014741322521731713
0.005477372718530921,0.27856327802455905,0.22680974523733263,0.017480645757823272
0.007276187664977949,0.07920795313037354,0.24442511422739405,0.013035020224280693
0.00663624481679936,0.014593195512731286,0.2167324650574522,0.015095586125366737
0.004745383660819379,-0.03592149496740903,0.24674458404056723,0.013983765598151085
0.0046706559721859464,0.1097807269883226,0.253510397480594,0.014683243932594554
0.006983941362669184,0.1122476167110936,0.23421145953608893,0.01316049963339378
0.0071851309713333745,0.07318674166729208,0.21720829754867152,0.012244366166263303
0.008736182964137638,0.121101259579332,0.21215913585220475,0.013215337081318357
0.005931505076814481,0.06531715637938575,0.23067917696617662,0.013467683625259453
0.002189843667411618,0.20511842268152,0.28338762973108245,0.013229116752982271
0.002798599676585625,0.22240869380858186,0.28054178057763657,0.013661806669976403
0.0028255905336631035,-0.04016249436904022,0.2554738724358515,0.013612933992085316
0.002863797703733659,0.14282442605769421,0.20639871053860043,0.01255362785885001
0.0024354066335701137,0.06654129856282115,0.16965757861436143,0.014666451355269375
0.006117467345887302,0.08185068574886654,0.24065664108601384,0.011341084202809777
0.007057097278089469,0.05515832469075924,0.2003899676644229,0.01437043903685758
0.009874673112549519,0.15220321477683083,0.2634392163131079,0.01189971492268585
0.0019508867724017359,0.08947321239901664,0.22087523384696653,0.014197245699186081
0.0039704386102962,0.06828484214193467,0.2479216283563041,0.012547347208340469
0.0054023322154260955,0.09919007634850363,0.2602226101248048,0.01500760320857145
0.00593652955912338,0.18966780593503263,0.23679797426547636,0.014836454539305476
0.005165051374804731,0.17235360924857474,0.25097319286979897,0.014013737445839365
0.003921357348669206,0.1522679109686209,0.2208263095337654,0.014196478732678982
0.003376416281600907,0.1538390133050845,0.22196565258406303,0.014469984917415272
0.0028690418657853645,0.46370691243391915,0.24768787001954723,0.01226023006946835
0.0034484601418162874,0.028425481221033607,0.21297327997682985,0.012713259040732929
0.006175151309613863,0.16542092285464718,0.23131090353394124,0.012642546618102154
0.006259014567059908,0.18125801504460762,0.1734501224359629,0.010718135937678256
0.004467238879516205,0.19748864726952461,0.20407440242161823,0.01237959814741023
0.0047108226658065895,0.24054347305629742,0.18114005376769113,0.014401836855776609
0.006213531542668888,0.2415934514841686,0.2048543477562809,0.011851022143695879
0.003500760337860986,0.22856344073761922,0.18024657878250921,0.01685224931682275
0.0016808188399045746,0.30654541729021967,0.13062439056300656,0.01180390143680077
0.004776588912427124,0.29735742276088917,0.2719075786807292,0.01400594980727826
0.006065020383914529,0.11087317165161771,0.16834555806008414,0.012533503714049607
0.0031981345551720507,0.26374205556438013,0.2292146976737482,0.013631178658386452
0.004013290816048647,0.05041943038237168,0.1780113535155054,0.012502077364282091
0.004821779766940486,0.04828490772289982,0.16008672841001984,0.013397542623083058
0.004874873740918457,-0.00017803704903410943,0.1700136348426607,0.01343285111032236
0.004155935749543862,0.05905227253656848,0.12773698733649225,0.015740107782651235
0.005254084625872169,0.08523093713725566,0.060967901357773274,0.016425182397457834
0.005033687182365048,0.19248466463118064,0.17679935108012718,0.014097827152168558
0.0047259911030953575,0.27256414136783963,0.1967929375371254,0.014480318152159347
0.009141171112702054,0.12261731842770221,0.2424625403843254,0.013952599526993693
0.0054842368898899915,0.24076001665505448,0.17866352063330382,0.01342510122394945
0.0071346547374504694,0.054340090716668774,0.1951022226779563,0.014434179621797515
0.004383558878608602,0.20953229450804373,0.2683527002887468,0.013587819945139513
0.005046637666724559,0.13473429261288955,0.19204914355304878,0.013582248960889548
0.005201217437461849,0.052537209834410285,0.23357219304557456,0.012964882510189903
0.007395573639846355,0.07962385004410025,0.19971161677981789,0.012438152601143983
0.004117761463748219,0.2239607420911712,0.16820324910772957,0.012689216250866693
0.003622615431426086,0.15496009381928336,0.19555040707633967,0.013065217884275731
0.003668693723943095,0.17788630885694118,0.16195892038671728,0.012375383860303145
0.004644322229042808,0.19915468543889123,0.15779722827464301,0.014458854514913771
0.00856027883631311,0.25097357057719666,0.18645814743044636,0.014489810868326463
0.008330283101466487,0.15525241180335564,0.2842146006019866,0.01577340052854199
0.005477470008075019,0.19178835858228424,0.22390359424627723,0.014117123334472938
0.004441432596559514,0.21072053509655847,0.22346319402334416,0.014100078758517895
0.007569076788313103,0.15420005911780243,0.2302823448142978,0.01188233818398188
0.005495358457755639,0.18698535811120856,0.26669113353232793,0.012778540554801593
0.004497050097870984,0.309729925422156,0.12224715471926012,0.013888323657469224
0.008406897958819446,0.12668768414245177,0.20736864314874315,0.013100381283006526
0.004562165649481292,0.2611379888987775,0.18659274073454743,0.012479573670247815
0.0034415253769957722,0.3154964587858163,0.22943628303352406,0.013883283459952957
0.0076050340557790265,0.1820043418471805,0.2735365999450843,0.012046916720843726
0.005599518960372954,0.08077063171849465,0.17854610416921782,0.01352316845331163
0.0021081714645906223,0.3323154928297639,0.23817488702991604,0.014592323987178774
0.004407859186797663,0.2743913395097439,0.18844894480233074,0.012371450532558408
0.005180063552140768,0.18999311650510997,0.21122585561058047,0.011259972422095177
0.0049665289380814,0.22193247760046755,0.19894451726797052,0.013617037502225066
0.005982712037095381,0.23357598233776972,0.21448004722064032,0.01521304389504383
0.006317957268395479,0.1020462900296806,0.22546102782972427,0.013674482269001541
0.005557704490426754,0.17398619095886567,0.19577616303761639,0.013282714143951761
0.00455084664578944,0.046055400324010495,0.18394918263382684,0.012489287610513823
0.008060987809495311,0.2756310302301038,0.20273121866136776,0.012487768961891169
0.006742463868928973,0.1475072876532879,0.21062193695015147,0.013994354128548606
0.009340352738234232,0.2401347017051314,0.24653272691849057,0.015265042811432502
0.006282436204468206,0.17061135635462268,0.1912746182773857,0.0158773086175366
0.004885202252898137,0.37801761372794623,0.28319947909281956,0.014106072945981122
0.005074264165349672,0.012389952624333931,0.12907710589045657,0.012172604611405865
0.003901888640577101,0.37361230562418146,0.09728720407425204,0.01589118833416543
0.0023514906348231003,0.36639659448214035,0.13353088956409628,0.017017145872835072
0.005841889828163061,0.34752867349141353,0.1937927921213745,0.013567860930292492
0.0022877611144309514,0.3647817771632854,0.26434135667623776,0.014984620844392095
0.00774785268934868,0.1606485022194539,0.18327698007521193,0.01583926282641262
0.003945672261960596,0.1688368044542953,0.19617152437377294,0.016847251747519713
0.00840480608457358,0.11881543274360719,0.22591752324189643,0.013863876071724958
0.006699592141270298,0.280758151329551,0.2638847113960711,0.01660021654685423
0.009134173448147214,0.1516771789507439,0.10040496497555652,0.01412388221446137
0.007864435300703765,0.0938565758664029,0.06556542197959112,0.014146711572883356
0.006355902982022919,0.09243781115838731,0.22264645645783857,0.017408291049615724
0.003223264114136765,0.23343003739465928,0.18875061117908423,0.014793106766608945
0.005113228803144296,0.017558857248947967,0.20785591703975717,0.014025987536848479
0.005660531665472882,0.24191975010764438,0.2118508950088627,0.012893316855346566
