alpha_0,alpha_1,beta_0,$\sigma$,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28
-0.003647523006947285,0.15391963252482405,0.3105080615500281,0.012285233589879771,-0.017856999428547567,-0.0018737525478808368,-0.009618443963787075,-0.017998854384290625,-0.02872880835493068,-0.0010675671925184447,-0.024881944713776926,-0.0055693879939772775,-0.030931016294458335,-0.02757716760866456,-0.014716255222417776,-0.029163059496822973,-0.008914341741146763,-0.005843461800379813,-0.03354623131343635,-0.014205815992159618,-0.008894650477595802,0.006033507431694267,-0.024114259366657474,0.001291389988847203,-0.02415259702202085,-0.014334468610615438,-0.005298398035528881,-0.010559926042669827,-0.0068101269910814735,-0.0028577320163994694,-0.02005787648643755,0.0036711231003977774,0.007166744227920812
-0.004349427057450317,0.1350605473130754,0.2762768108473481,0.01135242605697419,-0.030453460252672194,-0.022877902322954783,-0.01272929002878864,-0.009529886063958678,-0.028315917945526,-0.005502788727786533,-0.021588526196315672,-0.0116933714543422,-0.011913045893453536,-0.011242473506488522,-0.0036493700239071487,-0.013802628563106236,-0.02302403605412747,-0.010009405489576113,-0.018850804232557923,-0.009404388542771706,-0.018389432068514875,-0.014702160538156294,-0.014850182346672354,-0.0017641136202271339,-0.027522595808269122,-0.005567638135933478,-0.02862823643406159,0.006261571977711261,-0.01508754479350615,-0.021893864273904672,-0.016266052325455714,-0.004292069368952668,0.0023980861282430037
-0.0007501272395684789,0.007203098462786426,0.27228290568360203,0.01109088460997122,-0.0008352250702601646,-0.0005072912900181338,-0.017210468186222714,-0.017493872437400672,-0.0004184886458763514,-0.017656304907213677,-0.0038810958918214056,-0.01575935739726146,-0.015940816202093297,-0.012601947216809097,-0.02494586779988384,-0.011247124452568612,-0.0011911110829094448,-0.01835596413016187,-0.009375368432806327,-0.013679397628626055,-0.004148354110546692,-0.011974750407897939,-0.00296475237333774,-0.021265069379567483,-0.004824928807735402,-0.013609174887628032,0.005950865560750884,-0.027379514675231555,-0.0035873400433650807,0.0009539438943017113,-0.006910401952750611,-0.018264419173111415,-0.024578628533766113
-0.0050574025867767365,-0.032142768713000015,0.26891573180375106,0.010412772219149777,-0.024139941502385267,-0.021221146556430173,-0.012350934837291648,-0.004380613648648155,-0.02987205030689073,-0.016414567069737842,-0.029823844452653448,-0.024511490686619286,-0.013599450039297864,-0.008945367796876902,-0.006927279471446101,-0.01754277410103454,-0.016570999312491175,-0.014921397538014372,-0.016705026093239927,-0.01681646958665993,-0.024641810523399525,-0.00416378214407814,-0.022781068689721785,-0.007392202506851339,-0.02850033845522494,-0.003069531059542888,-0.017426267411613374,-0.0015399726825282459,-0.034039500931317086,-0.020495419125469993,-0.014543113066499705,-0.011809432307212223,0.002278923802964146
-0.0001593375000497901,-0.04200181336626023,0.2950576487047482,0.01235721026724068,-0.014429640649332165,0.0004567594053250401,-0.020774084424750677,-0.029651070127445486,-0.011705220559538342,-0.005267940461916456,-0.031038542477397783,-0.0015495098045314967,-0.013237474041983872,-0.016356516867360803,-0.01307298778249742,-0.013793360133447051,-0.011667052308527234,-0.015176996538013209,-0.007940324609771943,-0.01656757701898553,-0.018748250196215052,-0.0006466000400413867,0.0006358005066211514,-0.026365911278503424,-0.0023316864794007378,-0.03233116220379668,-0.004549083014973682,-0.018631574467191266,0.00996820355932734,-0.015333073323016509,-0.010429755915238752,-0.012778410791386316,-0.005652519708550038
-0.0038610923472280003,0.07048025860494422,0.20664636664865543,0.014104552322377263,-0.011687456151602915,-0.019242151503879437,-0.03946767961207442,-0.019082461539112555,0.008192049100803721,-0.03732580275605644,-0.008486474300776503,-0.0446785049751683,-0.0010387571346629587,-0.031175796285832287,0.01604485113858793,0.005465417419643421,-0.003390631933923049,0.0012158540767030937,-0.00838210722338435,-0.008777905778521508,-0.009195198614504777,0.008779018062620885,-0.01129673046437724,-0.027521599221951718,-0.013431914320380805,-0.011116117547703988,0.0012040880626669693,-0.008560208176222385,-0.011389596829139457,-0.013210350182771259,-0.005081611910706404,0.005937200459105659,-0.007777505394920579
-0.0007912820762549795,0.06070345036411057,0.2965325031788469,0.011233000048234179,-0.015788773296898356,-0.004236936406712227,-0.004381744710529136,0.012011888103830963,-0.028721263345615523,0.008744600286814464,-0.016895712072247764,-0.001589803098006974,-0.009394250473863195,-0.012281846860079312,-0.026925966899546325,-0.02252149724692788,-0.0046231435666453735,-0.028227984711441063,-0.02734176105922597,-0.008839734864396636,-0.010573915210415393,-0.015653611393731476,-0.0024708954946643154,0.0037884162656590644,0.007079843637050701,-0.00536474734504507,-0.015455304623290176,-0.0074668902153380455,-0.008882819500896798,0.0026818441947971524,-0.006522294618614226,-0.02672929567212502,-0.007245047550132856
-0.0033949832959009303,0.07013724551833067,0.2135049787148209,0.012296251526286581,-0.007802913400559714,-0.015056197873310882,-0.028679140302220473,-0.025068362417153604,0.0028394349850623876,-0.029336948627478016,-0.002636685539745831,-0.020155220190962393,-0.012277195085752085,-0.020884873379074673,-0.018185506157139077,0.0031054413877544926,-0.006900989338133888,0.013691150150689871,-0.01345468619185137,-0.012046328263870905,-0.0017095491751935774,0.003169765634533519,-0.011077025880124242,-0.022590771732840693,-0.009791164932086375,-0.00607010656844568,0.010088684391633488,-0.0036558724917656314,-0.0092007702350078,-0.017413350230141077,-0.00798171716719085,-0.008845386014876356,-0.00030258022120052084
-0.00031752589951707306,0.3251895847625737,0.2825551386723893,0.011802814822519029,-0.01655779096259447,-0.009843319786574567,0.02602434212851923,0.01379844820494654,-0.01140446944032273,0.005061080800376429,-0.008487105974444069,0.005305952044284075,-0.013822337773320455,0.010251385514598135,-0.007907521605920375,-0.01787823461238387,-0.006668659885894902,-0.006944864098576096,-0.009025251855229167,0.0012347448536604493,-0.011974236600762595,-0.010389310512785011,-0.015679528370179916,0.019818063580298858,-0.006298144534867062,0.0026801797503425437,-0.007848639942862707,-0.00461090068070751,-0.014523921477057203,0.0007678550589197818,-0.004865687835357081,-0.00332577626182673,-0.0003556281170843026
-0.004527817918961383,0.13748913632670687,0.2014972840789258,0.017467136310427334,-0.0026518338960936742,-0.006413385536398989,-0.011512154952031632,-0.008416376222250865,0.004300872466073041,-0.029078473083479113,-0.04320581823748059,-0.023407433872479486,0.006636736023893784,-0.0031615556655652456,-0.000639123656557043,0.0002806577079273677,-0.011624317295099277,-0.011566941686926716,-0.026164597106108127,-0.031160829695956488,-0.015594940240111621,0.002788050893177104,-0.014438347420879223,-0.0008619600699366716,0.002709893289802957,-0.02452386140854864,-0.006556618057076213,0.011381819185859345,0.014079996779374389,-0.024839168029099325,-0.04593353869504363,-0.007013864739280262,-0.01725749635911264
