alpha_0,alpha_1,beta_0,$\sigma$,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28
-0.003780576943149543,0.17966396312885316,0.18055601012208017,0.010679620331218937,-0.0029020917420813246,-0.026966145954666874,0.00949334972845526,-0.023403757264293657,-0.0103571344409953,-0.016845471848969066,0.0013589593330718085,0.00440345425254175,-0.01857831249521132,-0.011506636307074243,0.014794656264552303,0.0056352132863886064,-0.025091862956776435,0.013182437783043118,-0.003454947073450322,0.026059426332191583,0.00204773207521614,-0.017943449387844736,0.009796832640861283,0.0010117772001560694,-0.011814700097689316,0.0008634621290902824,0.011990467228811622,-0.02924399949525902,0.021334468281014485,0.0017836046481799835,0.011648314541928963,-0.005490022066889904,-0.009366820825640514
0.0010968633308719605,0.16944922871805165,0.17088379090101266,0.012279491792169904,-0.012309555103152636,0.007748167769017006,-0.015213009157340888,-0.008998437658500063,-0.008930368142662655,0.0009902484027717177,0.005032328532013969,-0.007252746096820483,-0.006978424738452694,-0.002755198942363529,-0.016421226880935266,0.00367447125946674,-0.0032007869261041232,-0.00718660574279871,-0.003946556067426249,0.011060663736799006,-0.00413600521414325,-0.003260433572468878,-0.004039845960777513,-0.01662286230321997,0.003820778571112202,-0.005238401886470711,-0.01902662145730386,-0.005695950981150797,-0.026535084748913078,0.012858017076627088,0.012856418519533704,0.013867073516570749,0.0035787234157079306
-0.003073709839347093,0.13562852828203428,0.19659392456283337,0.008938797123088631,-0.0020333030888330583,-0.02107432523283783,-0.0013655824722401612,-0.006220171016088849,-0.006717472588550317,-0.014129099563514555,-0.014628932497930566,-0.0008016214194290498,-0.009814063362150578,-0.00964027686572349,-0.0024892234442978442,-0.019790282941466855,-0.006509818639677412,-0.008654249638875488,-0.005577187933661444,-0.019632296142172125,-0.010027773760341852,-0.0017759637791821407,-0.006461022067259074,-0.005712466531916756,-0.005129765913313947,-0.0007833612658278667,0.010118993655648487,-0.004609651022102559,0.0184054962298617,-0.018003629473331603,-0.016379321102765604,-0.03404268176200987,-0.010803487305443943
-0.0008925175805718763,0.007476581366409055,0.17647975105505093,0.012956997872207747,-0.017287682687644364,0.001467527663562878,-0.01687216810245117,-0.01678305697392502,-0.009831092370844537,-0.000894872646069324,-0.0013760245679568378,-0.018864705333138755,-0.006923313036704774,0.0014146649251582503,-0.010938313880635923,0.014857207310283808,-0.0073686075786839385,-0.005331341532704063,-0.008752398078783993,0.007431783003034544,-0.007945492008384833,-0.010188702863615244,-0.004705799982893537,-0.0008772056538709897,-0.010304675121217704,-0.010438970363098007,-0.02414263901378818,-0.005804536998127775,-0.03056614606376185,0.011140772279798525,0.0052275345136852105,0.03348454460479645,-0.0056810500724032015
-0.0034715687881581997,0.11810162696583226,0.17489046020183155,0.011934879201265307,-0.03406584342012412,0.010359049358718979,0.0006717146558616613,-0.0011404876171343405,-0.015596225546683799,-0.024854491399536084,0.00672051620732534,0.002558177313421108,-0.021980045975218028,-0.011182954895582643,-0.02140860088910857,0.012002205564959754,0.012242563986298607,-0.007811356270647646,-0.013686578272349516,0.016037219393918892,-0.010692681780183804,-0.017676481671623615,-0.003954092397612276,-0.00904486763487893,-0.008753975493426979,-0.009505885747849793,-0.01924358323303911,-0.0021357142653190696,-0.028252149714278075,-0.001663020933275288,-0.00510646695436153,0.03397205463889113,0.004202186243533834
-0.003460291706760693,0.12050840134860198,0.15430913388816084,0.010627948522966403,-0.026742253518248604,0.00957532179779729,0.0029958493398009227,-0.004810799589501174,-0.013114981751379474,-0.03619395403397947,-0.00011690825394035506,-3.9839861512719625e-05,-0.017772279010675993,-0.012746635308224919,-0.021552688688002315,0.017101440249964753,0.006910072985284463,-0.009050156137330269,-0.01470040452044292,0.009916918692952281,-0.012523946504971226,-0.0207961398318652,0.0032701300380748284,-0.003941491510770565,-0.004074585710051922,-0.008601134150380309,-0.012377516098233168,0.0018238279830399507,-0.025168954537865405,-0.0056054210880176125,-0.005746211042153688,0.03217095372860883,0.006613523766699609
-0.0016573299769474064,0.19438256646053134,0.3100954259443939,0.013138001761020045,0.01811693460156761,-0.016263464726986792,-0.02583188871106868,-0.003136012216296958,0.002254513745959646,0.012534920242864806,-0.014977108627975497,0.00013020892436719426,-0.023646215524027278,-0.012167249149840347,0.0020294292921143346,-0.004189277620042677,-0.010474106623838181,-0.014474283179366007,-0.00819213665686274,-0.005936873949430585,0.007452984002007815,-0.004710218952709098,-0.0005975214500454329,-0.026932992703396354,0.014025338579571828,0.008596004613038753,-0.011561411461219539,-0.010685130054391628,-0.003080045672399834,-0.0011278870443516627,0.007123016526247066,-0.02823253054173889,-0.02535484689462242
-0.0030823580590859517,-0.06110240812512045,0.18082873765626753,0.009763236809685867,-0.015831240332897577,0.0008572544928942412,-0.015474612411811044,-0.00020468260847749395,-0.002049210421332886,-0.01599768113072594,-0.02825645792962884,-0.013171260432615248,-0.01942180472634665,0.00562868068982217,-0.019045320234994802,-0.004858005447863331,-0.012121833883830297,-0.013083214697892776,0.008329538499767591,-0.02007859320199537,-0.0301450099974112,-0.0013346023905290007,-0.015542668963436179,-0.009730005173027962,-0.019280239650231568,-0.01126667434487338,-7.187218714916439e-05,0.005936798236169911,-0.03446062559971101,-0.011580458635214924,-0.013319906844340926,-0.015423368504107828,-0.005542985100064844
-0.001857093054025705,0.13443703812923696,0.1847574055777538,0.010077935515548182,-0.007000308085408107,-0.02345597447664534,-0.00540525750708298,-0.01975448023929098,-0.01920452806416371,-0.004305983065406198,0.010073471696305493,-0.006387994936038528,0.002113956928521312,-0.025671039226619178,0.0004221734810454889,-0.008628487742930424,-0.005425953437089266,-0.005346633751265806,-0.026616358923669675,0.0038374305744733714,0.011962933402887378,-0.01419427315669455,-0.0019341677369802551,-0.005645011545773199,0.004725904727550239,-0.003002456908541915,-0.013872986627599213,-0.017020796098199172,0.022080124062405632,-0.0003584484428522936,-0.004602892714860477,0.0030208999393018542,-0.010731848455743018
0.0004844240181103226,0.059393569342932793,0.20856281664754014,0.010337631363476998,-0.015248720291768198,-0.008727452273851419,-0.003777516144828251,-0.01763085585798677,-0.026086995319324797,-0.003039424641565565,0.002909151722902378,0.002392885933823758,-0.002599491479830949,-0.01918449780694349,0.005152947702656184,-0.00680220401941333,-0.011499255224276682,-0.012497366187463757,-0.03099273283753142,-0.0015813455703063688,0.015631443738752866,-0.03017891626449763,0.0050885718698587155,-0.016278315519066472,0.014513200491333424,0.0002826968911683203,-0.007291889819816399,-0.0032213490338344557,0.013545083947193186,0.0040933526422036876,-0.008425542047781015,0.004183855922344371,-0.011296560849517774
-0.0038278418705650695,0.2962287876020461,0.21105520799241514,0.012921053165805302,0.008869924591547144,-0.0014312608786562252,-0.007787172257370589,-0.013674646649558368,0.009645058714747709,-0.013033874405950984,-0.025528792076096547,-0.0022895887221425276,0.008540900902178409,0.003394713215759879,-0.01516594177345828,-0.02369013873148578,0.011412137056616143,-0.010241242475708408,0.01197233489687499,-0.002036322834450208,-0.01745813338095628,0.01604344269072322,-0.013800143753074055,0.002676071372639988,0.003914864141045902,0.003704274413235986,-0.01689227725223685,0.007392513417374785,-0.007464741388361024,-0.016248831362538792,0.002489155823499263,0.015693362931935385,0.013236383441356456
-0.0013400359299590868,0.2677486262953736,0.18293323416920523,0.010250790153192642,-0.012150337211960481,-0.009810712499989441,-0.019495397812507857,-0.00463481734988638,-0.013827016793736852,0.004969460992930815,0.007703575303076334,-0.0035101672144476955,-0.013433806124375587,-0.016308150665726946,-0.009843355786766957,0.00010413666260768455,-0.03346091143095698,0.004773324575745834,0.0014150292423605148,0.00377972375359134,-0.010939018180238104,-0.007214378907956235,0.024848338666272174,0.0022097448433250014,-0.014610551265619642,-0.006243429840150761,0.019810265002604355,-0.007219076375929323,-0.008447797947695096,0.001254005620130161,-0.011584869665208837,-0.018544837819960646,-0.01706725889954205
-0.0008606899156549143,0.1076488563792246,0.20781884898179953,0.011283044024412391,0.012575705195297314,-0.0022498263466964904,-0.013913680759338654,-0.007217114392602757,0.0003154071273668952,-0.0012393795827883153,-0.006622946546976491,0.007775187634221064,-0.003344722639146626,-0.020429290651093585,0.0005241148553438574,0.005461444651435229,-0.016602891685123473,0.008882040539987974,-0.0035239584226114096,-0.02122229312531196,-0.009563063742162908,0.0007294318392396384,-0.00524872456583953,0.011362203032878423,0.0006417025400252787,-0.01460382021506537,-0.0015417271522582335,0.010990265438347687,-0.006703600616657462,-0.01231185853743542,-0.0011532944956417948,-0.002592044293311653,0.008657139991501691
0.0002962394144560598,0.11313733160572448,0.20226683420233016,0.008006319305306547,0.006458269274008666,0.002218788676325175,-0.006511971339628374,-0.005542884003697358,-0.015379012321825359,0.00020089352523528902,-0.02834423396098465,-0.006948760520968964,0.0033176591915507875,-0.013028248929360766,-0.004361501841843012,0.01337464839797964,0.004856565383655866,-0.00868341241166418,0.000920893745179463,-0.015331282228112036,0.0008901618883986862,0.0004880193759115624,-0.005377887558235727,-0.0072500505293222675,-0.0013654055907785872,-0.008069859177521078,-0.009515685438884657,0.005337407546542938,-0.0016326556581164335,-0.011282603830035919,-0.013985501931414629,-0.011980971164127576,0.011511769934852456
-0.0026818362191125375,0.04198757392057757,0.18079263478097396,0.01020019436238757,0.01906142227630049,-0.001716359889767874,-0.00886924810277666,0.001715113890652277,-0.007256151987751355,-0.008768054781443489,-0.012590663651547354,0.00652238126939411,-0.007218693739927344,-0.009000708616929481,0.006323621908056927,-0.010743847427438039,-0.0036914164122399708,-0.0020902932739940007,1.6652112494128842e-05,-0.0014092057080199649,-0.00480889756719005,-0.005424272294870898,-0.001454172463607543,-0.01660324853636434,-0.014643336037838415,0.00781647548854606,-0.00898980403938294,-0.0057223760315372706,0.004834781794419391,-0.0018047373647856772,0.005373668421806622,-0.01069436230572439,-0.0006886893777396008
-0.0005329813253058692,0.18250765807329655,0.2394529990057174,0.010230943079527648,-0.0052913764438962925,-0.011546258503197356,0.012255618323978824,-0.005419175113540844,-0.023596692926185433,-0.0025712411036465685,-0.010143755136749193,-0.0017541692112940772,-0.0018390654866329748,-0.012623994770338891,-0.0005756078280031631,-0.008743863891033632,0.001192162612048552,0.012593210807527169,-0.008061827340844067,0.0017073224935006237,-0.00021605628703096422,-0.0015004670790839543,-0.008706941496288317,-0.012705970332053677,-0.024825654340494024,0.011004196580890089,-0.0011297168735845565,-0.00789858179509984,-0.012946058008285076,0.0053667016880448665,0.008462854350809124,0.001995227665847442,-0.00719735198017623
-0.006180572207980802,0.2867013613084851,0.19820087140065137,0.011767280589522188,-0.012928547696530426,-0.02151843448453792,-0.024603187995119898,-0.003846763335334167,-0.0016193930769170385,-0.001162412042959823,0.004935605267840181,-0.015167893962543928,-0.03947122882550484,-0.009301049129463551,-0.02005207098604655,-0.002141668366668803,-0.015262718390574845,-0.015607210753120764,-0.003998088256161625,-0.009214755205068804,-0.00952185368572167,0.0005078700050948392,-0.00679756160162796,0.0027959822714347686,0.0016845277473155965,-0.024614889761153353,-0.011173958451178417,-0.004824731947457284,0.017116416492429978,-0.018195890228814945,-0.016324492390725066,0.0012819938055123792,-0.0027002725744284944
-0.000958269325079432,0.032003333473821616,0.25197914058651805,0.010658232493889702,-0.001194703429323974,0.004188514590405127,0.006591945659361914,-0.01255512602369599,-0.012920636820594082,-0.015232144519364372,-0.019822635121346573,0.000367782560708004,0.021884969810032247,-0.0062111154376015614,0.004907567128075671,-0.01309003951772666,0.0009386557552026947,-0.0008678509666559318,-0.006235576019856478,-0.0033355866858263005,-0.0042991369808003934,-0.011913330964164666,-0.007371404707943687,-0.013620069184629498,-0.011992245026843361,0.01317824881076803,-0.005156574648599739,-0.013447190469200272,-0.02496876770328012,0.007404723042073307,0.01208502800613523,-0.010605836786647296,0.00331730678015548
-0.004175523982602144,0.2700094789987456,0.18185822424793907,0.010498430658840983,-0.015051812240292173,0.0010844048396858436,-0.021526444161823782,-0.0051693094392498504,-0.001999987133811645,-0.004671188824190659,-0.008290042892923174,-0.01282446407898357,-0.027399118987645247,-0.0028039905734747192,-0.00716754710893004,-0.002889959215557436,-0.017290253917848122,-0.00959508801465708,0.0012558736227244686,0.0033275420964219062,-0.0192966947773244,-0.012004415705804938,-0.000201254448149893,-0.014284713360730306,-0.009325941748226875,-0.021655350349000447,-0.0053628842372700995,-0.009544780551787682,-0.007004005284579203,-0.006096722575479896,-0.012447432311436055,-7.632529224467933e-05,-0.013259868820510053
-0.004129357909347653,0.18561396036428118,0.2206870578510443,0.009492688233906725,0.005372175404246095,-0.003131878431616876,-0.014932769973339192,0.007715527609127297,-0.009584536202418748,0.003442978137458756,0.002211274711475265,-0.0175402543893428,-0.0030808746098140876,-0.006363009620887957,-0.007690149469968914,0.007107127108698496,-0.029554260377528976,-0.009708870730753761,-0.0007691484405964929,-0.0032675769929955928,-0.01659763205547087,-0.013744094813467823,0.004011106643116482,-0.0019489244946296143,-0.019074595251697305,-0.016310587865413194,-0.004801209055864757,-0.0008549272900913289,0.005965025947948865,-0.009869549877270326,-0.00979476050102797,0.004807804391043909,-0.014432079077845114
-0.0003634047709370914,0.020196460945779995,0.1851683031304983,0.012104685109614327,-0.02555712071525585,-0.011574996701986199,0.0004983040287393065,-0.024551861235024976,-0.00952087867451622,-0.016611965665761824,-0.015234476291111042,-0.001207013152261474,-0.018701250223078853,0.003662909837757338,-0.0062953500818943445,-0.013090027538911694,0.014806021743095742,-0.0052432899803585235,-0.01376270156487672,-0.014721205365173221,0.005511001225603325,-0.0030504166461307533,-0.017871572071908117,-0.012582752251797443,0.015391192895577326,-0.004335282885028704,-0.004012720378433047,-0.007243053702611476,-0.00892001080596386,0.00797824772590142,-0.0003554904789477885,-0.020710388590998816,-0.005447634998243984
