alpha_0,alpha_1,beta_0,$\sigma$,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28
0.003523994447521438,0.256955304049044,0.11529212069697915,0.012349567221611459,-0.011898022464825889,-0.01796552642845103,-0.017922815070453894,0.006779644461719835,0.00508652172569961,0.003100041110520824,-0.013912267631153021,0.0031330606159359004,-0.011133818464884352,0.0016590829062574318,0.011396173125930987,0.002473332435341948,0.017160701207307654,0.0067726262445945585,-0.023593766460003572,0.003900245148314891,-0.017123961875249415,0.008763261099387748,0.0003206735318826387,0.021627486074560248,0.027241102117167616,0.003451836991283888,0.020712065639276234,-0.0003864023302932241,-0.005342501781998508,-0.014910226846417672,-0.02301226634578278,0.015498329922775504,-0.012933878899773417
0.0028569766207441312,0.21849336234869965,0.1403454116869918,0.012258510097769236,0.007149179417286705,0.04251366831837222,0.007660397546325152,0.0016780823569765104,-0.014598105033854504,0.0041582908558460635,-0.007911406636784673,-0.01112928770978598,0.028444163094608465,-0.0068669005477340365,-0.006188546413184231,-0.008538333305845308,-0.011922742116092276,-0.003811843203492168,0.024630120237015028,0.0034562032929447155,-0.0032153596996324575,0.00483709851255761,-0.022369975964375642,-0.008129747507365389,-0.008189762762590352,-0.0010982030761538105,-0.008199647823252297,0.011365439078864135,0.007640889364533952,0.01579109247270887,0.010020164419621867,-0.013684268095644197,-0.0016579451120279508
0.00820379538186929,0.20197968219030574,0.06168229810250048,0.012228201045030656,0.00208022426334505,-0.03361518869583696,0.004987015464974723,0.006362970838820389,0.023686394558397487,0.0024582857253289013,0.0178222395593214,0.02138523270559432,-0.021348587731172288,0.02223913549192967,0.016584612307510294,0.019224009650094596,0.023383869392274156,0.012565564045960508,-0.020452036488924612,0.011540773284610551,0.013394766164959172,0.007993144115405151,0.035892146883937534,0.02698709800981471,0.016910097901366303,0.013260795269443511,0.016411897024944683,0.005200326578702062,-0.0002851107125036871,-0.0004879232599641792,0.0020220023529401126,0.02792175491460805,0.01362811570707116
0.006150766556534213,0.2559876349912921,0.15167572898529658,0.012590988721466202,0.011733579042621864,-0.0020898878223781416,0.010531949311485017,0.016330517084147053,0.0008246301452488247,0.0182552995354088,0.008842035386700036,0.004890638668696561,0.018621945444606904,0.020230933914796478,0.02954232054401396,-0.003467078031348746,0.007849933634968989,-0.01345738821971893,0.026490773713363263,0.024629326023428953,0.026618383955872828,0.007954428593416893,-0.0024184151652645886,0.015000514108866094,0.014842852075926893,0.013797708169464023,0.01249524308478107,0.013922052496863312,0.0010513394142832096,0.01392270530396241,0.01576636682567929,0.011005819622395004,-0.005617040979898561
0.006482902056555188,0.3464675331533856,0.1252551214906538,0.01190483207136059,0.00027299426818685373,-0.0024594890160680406,0.017155159855578788,0.010958399297278997,0.005769519341735641,0.010535170125543551,-0.01878262592069458,-0.0030460172096829193,0.025593735976023293,0.0207953954662473,0.01568844104038897,0.015584409263145598,0.027796348513159968,0.0037563214712305532,-0.014978877323362866,0.027381777933101772,0.0004531994937524552,0.011957083734393378,0.009762256779154817,-0.0005323881190247227,0.005474288631591421,0.008706298891953982,0.0015079434923727505,0.031422777521431224,0.01804053058124856,0.009726884495492121,0.013932921931715752,-0.0025977924142411733,-0.0012276867642100908
0.00498708777050363,0.2277444423110468,0.17539955912209715,0.012386706957724156,0.01776451845321587,0.003418353703581662,-0.007099991528005853,0.023648934043208815,0.019336584866530872,0.0016392301668959842,0.010319841650356352,0.00262077264542712,0.00046264548312468937,0.013599252762440254,0.029434001901531604,0.02063177999211037,0.003827432877129933,0.0007334397698827191,0.012969065923686787,0.017561245303851978,-0.0038160815176471463,0.018792953836618675,0.014090006706189652,0.007337391117147369,-0.010502621171595707,0.00564044784026989,-0.01839084585609673,0.015562307404659194,-0.0064600429510988985,0.021447890780712277,0.006872255567468571,-0.0058023101667684426,0.005504396226018727
0.005765008758541365,0.17176366221603107,0.11730069174453277,0.011353078882983364,0.024476341795572946,0.002726608329475477,-0.02200679782461295,0.014930530707585474,0.024667008426748887,-0.008374434159476763,0.014696906266502104,0.019290666771573945,-0.002264039304531811,0.012697405038931242,0.028245675005518778,0.016201174467526322,-0.006630391581880649,0.0036041802321101486,-0.00782239505010681,0.01887375628219992,0.020655381373759153,0.016258103246294706,0.010626071623883905,0.01992098783624688,-0.003357235502773566,0.009605946065234185,-0.001998819428671845,0.014885543563919263,0.010822895063633427,0.014988759794219316,0.010571477633768762,0.0014748285476701244,0.0015481289408367683
0.004632339733823876,0.18935052370093572,0.10296599945126102,0.01128581286510683,0.025818304509470865,-0.004468983236695913,-0.01778392805242613,0.017671623109140357,0.020079487594150524,-0.013674764879871106,0.014187767389577563,0.016110741647473243,-0.010251232795448076,0.016467707630353018,0.029523641619640193,0.013578388451243007,-0.006718916957840036,0.005567333943763565,-0.009188651547426619,0.016253083287490703,0.013596762286501887,0.005539703140718127,0.003033513483971041,0.013155010064419796,-0.009871124517444539,0.005338610476111186,0.0007857304033674263,0.0233797241504393,0.013838172912356188,0.014157767832614283,0.010212313586861982,-0.012586509153248488,0.006186815518709596
0.00707957864881606,0.14610490143166732,0.10540833156378632,0.010831219200308549,0.001657635411240397,0.011028058311427535,0.012992490082576297,0.0029063985427776485,0.003265757870553841,0.002911558298885735,0.009851587695814578,-0.009910476465647492,0.035968643829793805,0.009399786870775292,0.02417527391317549,-0.00011464763811129932,0.007565766106444405,0.023697787739473463,0.0007372062861247478,-0.008861019813149646,0.009289978966708742,0.016372124369770192,-0.00887300485028187,0.016969833945323785,-0.008022569473650753,-0.017332041599405268,-0.000287208115673391,0.019982291500461206,-0.0004446479555525343,0.005714072375704878,0.016477891724910022,0.0015227515974245726,0.02434724637373626
0.0036983506510916077,0.41735529559931844,0.14759805926886985,0.012383226428960708,0.013275563464117675,0.0024659332437836235,0.0022059240714651816,0.006390839428580011,0.010673387665334474,0.0029390610070277622,0.014002608621664596,0.020254372746877525,-0.008262340950041393,-0.00037258038501000084,-0.008751065057507298,0.02187838392020075,0.007424306315843657,-0.0029352539499253615,0.016076123627524915,0.018411856796050376,0.01008913080117291,-0.004919746708294499,0.004670837041159796,0.0066521777212544455,0.022390876686949314,0.027274792819337413,-0.002288424380206058,-0.0025725896490701276,0.013952832619719248,-0.004283701409773895,0.007518276945313722,0.007460631633481053,0.000847431343647888
