alpha_0,alpha_1,beta_0,$\sigma$
0.007148240170632014,0.08863696143485417,0.19057540678378734,0.011392841633702551
0.002362506066498355,0.04627726665918199,0.10857779262648092,0.012175187886231594
0.003752180913912612,0.24502609578334236,0.15374787191687073,0.011194269863690176
0.0038720781556712833,0.255736164428531,0.1600591997658492,0.011689638407424006
0.004011180725759778,0.2557023802001293,0.16918105327100164,0.011643704227287803
0.003320622306208317,0.1883539580122059,0.1722237970968583,0.009596455197237369
0.0054227365088246856,0.19168267253130497,0.13327514171629212,0.011632206353974517
0.006111890751220332,-0.0039768023078221295,0.19169410073859147,0.009984896116617657
0.0017647818159436525,0.16574747194766876,0.17014405667817445,0.01173674911872223
0.006849801487489072,0.01671565136786165,0.11911344829167436,0.01146854686328348
0.00590679023508734,0.057484422122104695,0.18128325934430758,0.011018536005823535
0.005719395379981609,0.25872850682681586,0.13426659638125113,0.010308376466387605
0.004472256338032147,0.11978185609514556,0.12932189749398748,0.011980190080638478
0.006606169469913099,0.12481913960226075,0.1378533621394107,0.009960118938217946
0.0047932452513460375,0.11887297260755522,0.18436179839553993,0.01066240372084173
0.005622447306878012,0.050804129884846436,0.07545050541943463,0.010989512935081304
0.0028690031462435023,0.2926751170433941,0.08903226203498464,0.010801581035335244
0.008326788141068978,0.04378743279836168,0.17322151164122299,0.016250191573777568
0.002307204168074793,0.24929106473860382,0.12717449179381543,0.010035552043519524
0.004450398808691097,0.061444026890523,0.07890209723734415,0.010668092431859458
0.00533012101540382,0.34819910428126666,0.09063150450337287,0.009864423175564586
0.0035758827306785,0.1438902289589342,0.18645176101680458,0.01063328309351342
0.0030534977416446533,0.30277807488966213,0.11068464359897237,0.009473367519860672
0.006074592778996825,0.0697295321337409,0.14556785763216232,0.013172131217379618
0.0057631279225726076,0.15127346076827977,0.12689723597957742,0.010480212753921378
0.007609053798751582,0.11048837611872091,0.16633742874536725,0.01229261519688128
0.0040897332431851004,0.06503601942445222,0.13392402695294134,0.013697215573315625
0.003683390980051318,0.010735608614670527,0.15605783672327317,0.011298104148531801
0.002725637956420959,0.28582186814841176,0.13994867952032808,0.011024117445916626
0.006782798394820291,-0.012458128508977245,0.21898794204013677,0.010823436197159737
0.005580589523084636,0.024343225955618122,0.08405857520941684,0.011222480626360162
0.002030653277064973,0.0639307275788049,0.16667066222905913,0.010589805435376945
0.002617742778655056,-0.017601501467832122,0.15659490090090156,0.011316234232029354
0.004221271835891646,0.2734221856732628,0.11376122862432696,0.01020948866539048
0.00195788321007118,0.08081943478741915,0.07130884894324634,0.010304651804222313
0.003455982636880665,0.20794845942755513,0.18866232214603354,0.011091833825515337
0.0012025209944722648,0.04411144658888206,0.17801943606797696,0.011027015829758888
0.004688284881145482,0.135288317438668,0.0973292117063966,0.011339223749138795
0.0038284245722084494,0.21152457665779875,0.10598902456229252,0.011036236490343665
0.00560851943342745,-0.12521267125344362,0.1476819257010011,0.011721979971150733
0.006813887544422279,0.0537637365745335,0.19540293161653913,0.010649078306500078
0.005275644084535348,0.09048803101548937,0.16508005564214223,0.010041459719208098
0.003067838149333889,0.11663186449820898,0.1922339685977612,0.011697289333059564
0.003877852582493962,0.2818604661653403,0.16498211154724415,0.009495055508351403
0.0034229049271018463,0.07555294132878337,0.21746146925190332,0.01271068537385716
0.004693834670410816,0.07729855919901288,0.16068337778118102,0.012648933487272583
0.004848053795464332,0.006185953335104942,0.1885329880391542,0.011413469334750091
0.003448167879189647,0.05820654944661721,0.12106133281205159,0.012917553911467422
0.00262622571602472,0.061688296323957656,0.21288226336684452,0.011747487537185665
0.002511794856109477,0.0674795253625162,0.20706410288970792,0.01207596603989644
0.0027125859679141143,0.05815736346274662,0.2150170197463965,0.011895147636052811
0.003134179160721026,0.08885901449352808,0.2155173233496562,0.012084965472776705
0.003521305083226215,0.05767964191263021,0.20145192220856795,0.009627170487867365
0.005191792397975399,0.11492280143770811,0.15041425175364354,0.010859121317677516
0.005219744036178157,0.09896231990053062,0.17426955465922425,0.010725607534784033
0.00711944864967657,0.16593080035156701,0.07806663913544122,0.010318653731405723
0.007968691509605455,0.13005955925218804,0.11180034928204156,0.01032776324158061
0.0032208503752908586,0.27222276397545625,0.20477242708067553,0.012483671496765483
0.003970862175554076,0.19724070860977347,0.1814215743545685,0.011595002617995053
0.006308095669396563,-0.0359304170660341,0.18340599135347257,0.013833002934077228
0.006016561027044146,0.1961501107975041,0.18956411941956897,0.010258586059343242
0.004786949405977728,0.13933679522941744,0.1873430531160099,0.012438862976752604
0.004532277438948325,0.09666493149648224,0.17094784562329005,0.012492017186201002
0.0038643698105365705,0.17018392848253852,0.19471042336573977,0.012578782236074627
0.0057522724810829635,0.18493401953618901,0.21880857336887533,0.012967399946017043
0.006718352195881304,0.12657061198013653,0.21691913688315162,0.013125318691504673
0.0075051944459002835,0.12965835125597597,0.20823372587011826,0.013150604387752837
0.006747053061193987,0.02678534343146128,0.20111766769904244,0.01200030881286447
0.004133512053174311,0.013073380535484068,0.17528962274860593,0.011806057257139681
0.0011051576558978504,0.03086160184569099,0.19775008764254381,0.015161358634100707
0.004557816901290869,0.05523688845057516,0.21205105821376904,0.010347586556531826
0.004814382537050145,0.14008504026492505,0.1655090840824791,0.011226252326081593
0.005742245052150245,0.011687476428357603,0.13231087635004016,0.011264284517844532
0.0031607765217775423,0.1310789124454136,0.11962498524711074,0.011694302298223493
0.001985906001939897,0.045091724019577346,0.1986141058530507,0.011295988137388073
0.004430735035712483,0.17737650834698343,0.15770396837534392,0.011635032822313875
0.006988032274298893,0.296310752443137,0.1873395071131274,0.014040238648687208
0.004989587314249355,0.04365509075041518,0.19195898445872003,0.012906243093874125
0.0048440078479342055,0.24281389856641517,0.14638915639903277,0.012840500686947988
0.0031875652355218154,0.08514171387274173,0.18932781493204567,0.012121502515573026
0.0069493430931421,-0.02321465746564855,0.14906600944643997,0.011708515148466069
0.0009946038432461072,0.3142788065017431,0.21199452750339276,0.012558394614010756
0.0023344367988004365,0.39373620974003076,0.21329247801022808,0.013619638346723473
0.005532451250516096,0.13850928972622145,0.13084105806851495,0.011298675560269958
0.004389783619869604,0.35505738057048075,0.05290580827161958,0.011600531580812909
0.002829259888028915,0.3444020950603275,0.042291115219994985,0.011455646067893531
0.0023518431807886438,0.4012833093507711,0.1376533640582779,0.010573938241242508
0.0040999233268658695,0.4354653284216267,0.10134810013931175,0.011311604331511562
0.005051362560195656,0.1744498318243879,0.13424664423111066,0.012903990373630016
0.0072945267597359096,0.19316870144272982,0.1663580498506187,0.012158864319486217
0.00822679265468361,0.22736356664339322,0.15456272605587942,0.011818144354821333
0.0033412808156694676,0.22758068581176777,0.09050129341761153,0.013318872438505323
0.004483616368859995,0.07006066084708638,0.22309552264546054,0.015151804735494902
