beta_0,beta_1,alpha_0,alpha_1
0.108463512914151,0.3417024001637034,0.001778533592770826,-0.17258294087474627
0.04862093965818959,0.1942886406050804,-0.0006787590051456566,0.04498152442933309
0.06019982175121711,0.3119108200440821,0.0013023837556465723,-0.005453452161415021
0.0530521735696716,0.19481325528999568,0.00428910157978766,-0.14429641877536217
0.08101429824838009,0.20479304834754303,0.0034888119793226725,-0.05533038695289026
0.03219436442449764,0.317066350372376,0.002665740176808332,-0.013608144907677578
0.0948350523978184,0.2540942810924964,0.005091803011475655,-0.10709001329586453
0.06091203921563972,0.12462909170827188,0.0034931300171964453,-0.1425202745889342
0.2270372797945603,0.12008132630234376,0.0016625836528604198,-0.2009670950622024
-0.061362966954968005,0.2898320463559997,0.003129106635385632,-0.12669725696586107
-0.0074821978935700854,0.3989034640946367,0.0025987353650866185,-0.0005513687052084136
0.1749985886171945,0.07902392283344457,0.003897556778208265,0.0045655955981313895
0.03421670077623575,0.19545784257471832,0.002360406079486468,0.02690582480319351
0.11255761869448784,0.2667968957392156,0.0020249461681443666,0.23844561959683738
0.026887033961744022,0.09447534561818306,0.006521575035307739,-0.13480558559528086
0.07306579559944938,0.3031894529035363,-0.0003584939368671876,0.10744120493589496
0.05979421748640024,0.12279366113761286,0.00039170208678178506,0.16371032009495454
0.1608620106358837,0.06475855218396483,0.001092628914798329,0.1446232131408089
0.0918006722260827,0.14020417745685632,0.004119902250056987,0.10818404366620507
0.08328043901163822,0.20268131565869044,0.0023749971891804684,-0.2924741705589881
0.10376225152138634,0.195236101495345,0.0011182079265420397,-0.13020359288474923
0.07808521260418036,0.2285028905151955,0.006184690095654405,0.0264909829779848
0.061483251327488636,0.2844530852370037,-8.837535476904551e-05,-0.0619785948408321
-0.04570940498303479,0.29148439353151423,0.0026842389214762827,0.12931061117883855
0.001119335499336752,0.3896664505131178,0.0026884455027111403,0.1417891921304943
0.03760030640315447,0.273033332324571,0.0025804661489302106,-0.27900722111407755
0.007876950847451256,0.2613493065338094,0.0017754921522452468,0.11322014585077807
0.04329488233512127,0.2227239379835672,0.004473026409963089,-0.34623437857840933
-0.00032856426426706325,0.3254382722055804,0.004141745626355835,-0.13641873811874022
-0.08841244861701257,0.4583580708593704,0.003775261419552906,0.018569040768538565
0.1583249273444528,0.11221863404475269,0.002400098281355858,0.1852823096260076
0.1626333213354973,0.0074513829249298206,0.0004299113029366922,0.19516500360473193
0.1671598108579753,-0.035500817368022734,0.005032837312588049,-0.21371253541163254
-0.004382453974478886,0.40445662889706563,0.0028647852780319207,0.08600286703453552
0.09757402829555754,0.21833380561661392,0.0039587110419518935,-0.1763354496111668
0.05099619990069988,0.1773245043204029,0.0021745245605918387,0.09091014552727843
0.0525089814293261,0.02909995572475873,0.008280142302896228,-0.4451441132955288
0.1291431900315261,0.04558665144414357,0.0024825656726347543,0.18156421531715114
-0.015080101365455284,0.17733843622109705,0.00825256726364124,-0.25037331188624373
0.13693836875461524,0.154655421884568,-0.0015982053263391737,0.19851043593106585
0.05795199233650372,0.10444734692557844,0.007243738154151578,0.17737843461955277
0.19458066174609576,-0.039962211067219366,0.0036101057034565753,-0.3440028234144573
0.017438276300668635,0.39918552826063025,0.0011671710670599362,0.040266565394636515
0.08130238269421985,0.06056159282894084,0.006209475275216753,-0.2220397802383194
0.11343955398048389,0.26739723515690317,-0.0007689656395301903,0.042858232887228405
0.08857764477553776,0.3009918523844453,-0.0004442263486718719,-0.037128709943195
0.13742028546121637,0.21854626845867645,-0.0014762671629052937,-0.11261473747605953
0.1104442480717283,0.21523299481077826,-0.0013260958674690612,-0.11880384379523505
0.1082583133400752,0.09335647289581424,0.0017457398103256207,0.1582112828400871
0.07082158617365669,0.21690591078835866,0.004462591657673664,-0.08416384887088675
-0.02650261326837697,0.09421864752145272,0.0060109638046643,-0.17776062907105666
0.16767843313943775,0.2528412687020739,0.0014300508030901447,0.02884163542344977
0.12465800704279485,0.25289931538444593,0.005252348008468606,-0.07783497545448892
0.10790414873799652,0.2211388447065136,0.0057615349519377895,-0.009802344524740764
0.08611050088322507,-0.017829929340765802,0.005651291099554906,-0.34759597811222803
0.09554985254434774,0.29236463594725054,0.0031775387808348795,-0.2670948116925338
0.027504357373606552,0.12658413092257786,0.00262126079985211,-0.2170781821033448
0.1089180086455237,0.2455344216564165,0.005011775865579227,-0.23135592607635955
0.08622711337358484,0.0987644783353848,0.0011201702150129935,-0.17834493546315738
0.08408601863107806,0.18133950124597764,0.004974909628082874,0.11525166961938964
-0.09186841992965016,0.3833490527968949,-0.0001735019276821764,0.13929595577575984
0.2709116073722493,-0.05984980148099353,0.006676836095185719,-0.44374205398257144
-0.10541373079675906,0.39948114747152524,0.0001505924941351831,0.2424689969965583
0.05162009748540177,0.30416483496110425,0.0027721515351969215,0.10319019347938561
-0.007863671709279797,0.28833942573005944,0.0047575731068855934,-0.2850562283494692
