alpha_0,alpha_1,beta_0,beta_1,$\sigma$,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28
-0.004398675354404765,0.04631434372401088,0.1554960687863079,0.24932700098903562,0.00862425699965519,-0.03301978159046339,-0.023513022797811367,-0.032593490235675086,-0.02324771307380231,-0.03307663197695943,-0.010800029964250061,-0.01864335591132221,-0.01417869221055842,-0.02251587285594784,-0.02639213616363374,-0.019121575827233055,-0.018699507911979288,-0.013475229975869455,-0.016529209927821566,-0.019114259200505964,-0.025163698991241844,-0.014413882939777557,-0.025327183049302867,-0.0036148706447450725,-0.02101561276940254,-0.020048634590867517,-0.01918876029640026,-0.0196786881078602,-0.010412789777369157,-0.018782976687069543,-0.0189811935229603,-0.009819877170224221,-0.017708652318882967,-0.018730067958349618
-0.0014910078255384795,0.26898352911778806,0.0614111995279791,0.5440910590804263,0.011766423546863206,-0.014313657596836667,-0.024760968329845888,-0.010356971843640797,-0.02340539060812765,-0.023894300881985697,-0.03852326966146357,-0.030968599394378307,-0.035208624411976024,-0.020763669287168208,-0.017842002522450422,-0.031321948324652286,-0.026773359542531346,-0.03077643571684747,-0.029491524362420512,-0.010847671444281528,-0.00933080906934665,-0.02879456567049953,-0.013226797284951252,-0.03134121723331893,-0.016287261959763776,-0.014936632548062077,-0.015178131323255992,-0.00828278990057987,-0.022643850955958743,-0.014512925408981516,-0.012844009579171967,-0.022272488735373623,-0.014544721892889464,-0.013152783239715929
-0.0012374934015752985,0.20647281357019182,0.06502549407794067,0.5132405488881955,0.009755117903466157,-0.01598074005651096,-0.02453985587726659,-0.020836190077569153,-0.02819187682324831,-0.013017501044039521,-0.019832943383445767,-0.037986625226073496,-0.03574433707238525,-0.005747777095102987,-0.023689041044805757,-0.01833231962763822,-0.014314433269899701,-0.032978416532728386,-0.024033096545168563,-0.02347217762023205,0.004780258112476289,-0.031174727644335702,-0.011172006034284932,-0.02218886778231379,-0.03463108380965671,-0.014052230964472553,-0.00464116720494511,-0.024575806996358907,-0.02596022797563472,-0.013722233761917568,-0.013984564238676729,-0.017937668925171502,-0.00904828193386197,-0.008172369909066685
-0.004904427307214755,0.15852674622054239,0.1400169797830091,0.21147924604050963,0.00987780856498596,-0.01867099142609443,-0.027070102534069766,-0.02372583382648333,-0.006701571720826293,-0.02278894882064833,0.0008571910396988733,-0.006507546393869339,-0.013834382235311995,-0.040033529532991316,-0.02466704031121195,-0.02823306920416677,-0.028191754078265244,-0.011166684230592876,-0.009440771804903806,-0.003164758272591791,-0.03491398791054119,-0.009193572040976055,-0.01973099458006514,-0.018585682841951685,-0.01028631249964897,-0.013714012332025037,-0.0246682822770362,-0.020818206327072004,-0.01000950064524416,-0.03382805165607418,-0.02913355313099913,-0.013684336791872385,-0.02817090512108628,-0.010624861561139252
0.0012792619512657242,0.24846946023000865,0.02921274098141355,0.46049886169616655,0.012171642085805507,-0.02379014162436997,-0.014832188677701391,-0.017099615676348028,-0.03666280717119747,-0.018667069845070754,-0.044061952474546986,-0.040184507665886604,-0.025781340692825398,0.002334354578356494,-0.015631450886596766,-0.009912985582438949,-0.005911396800794873,-0.028551227515669787,-0.025571329634624614,-0.025856316541220992,0.002735049255589728,-0.02877535827624278,-0.016335820160727106,-0.015553139253878032,-0.023775361559769538,-0.014515606710876549,-0.006241220063323682,-0.007566094188669117,-0.028802330916840053,0.0032089480826293384,-0.004485110781657351,-0.01690322611509286,-0.0033025910759950246,-0.020151715403508515
-0.005675548990564162,0.21682201468623744,0.06346737744218364,0.33563393113354445,0.010179770966371009,-0.016939691954896183,-0.023788051295152827,-0.020842358263467194,-0.005911833490659028,-0.02462497686560289,0.011459408318247367,0.003453738502531777,-0.01218681035352227,-0.039223145300106316,-0.0207939842527972,-0.01896110001240463,-0.029224993459192185,-0.006292288727042183,-0.009939180991837394,0.007139620172615433,-0.03527396116275409,-0.005151416011705566,-0.0161713107744857,-0.015546326384423964,-0.008337510813846148,-0.0063441205283482505,-0.024249102860030434,-0.017638483317733846,0.00027226059635958425,-0.02908964347938779,-0.019958303066145294,-0.010021921636926166,-0.02057806404017974,-0.005661070831121824
-0.00571595160012765,0.19659064441218385,0.044317033164163744,0.31869817187477034,0.010923031764855233,-0.023702321140533042,-0.033531204556842845,-0.01699471626782912,-0.009881387180264383,-0.024970197657242305,0.004414136586648523,0.00048254640212497095,-0.0005039313880442736,-0.033228369872448295,-0.02749176105179345,-0.018584530761879964,-0.02995349777929988,-0.005493352353458767,-0.005600893262116192,0.009302062483428524,-0.03906635779584644,-0.005247599615209015,-0.005461705690627156,-0.007134260156028085,-0.008330229037897464,-0.010462117134138228,-0.02589077352054889,-0.014861828769507616,-0.003394352974639237,-0.032959517141582934,-0.013266142233929383,-0.01089482565374533,-0.02292757425563524,-0.012278191632274893
-0.005753494221087704,0.15166408741245194,0.028479369297220038,0.3652056506232197,0.012267018109000714,-0.025180987362172346,-0.021954346680533067,-0.010140602303897971,-0.013125133429417552,-0.01456709781016122,-0.02673368495403662,-0.00395125391766033,-0.007599743786050626,-0.01901149525100246,-0.020571952602528927,-0.020042903875900027,-0.029581811026224456,-0.014799481799343235,-0.030099144294332567,-0.00026611278613759403,-0.013772244083266957,-0.015022149875884995,-0.024270705798916502,0.0045775854171226735,-0.024626007130057324,-0.011125685352148593,-0.022536808446906868,0.00029167920093824736,0.00324819846051127,-0.03384478856637082,-0.012848150258497318,-0.008021433239390934,-0.014150501620808845,-0.004101019193221102
-0.0009029846001161112,0.3988852705833689,0.03512973587925357,0.5657016105575231,0.009325424657598072,-0.020170982911012943,-0.03274057006749797,-0.009717508148859922,-0.02983860503373623,-0.018078078549896164,-0.014626179217149617,-0.023249499009461893,-0.01718290488883543,-0.016679613785096133,-0.012658423271143743,-0.011711890989073924,0.0014222727626785068,-0.018957310503710155,-0.021563511240320878,-0.02612086840819297,-0.012652353265825644,-0.022177373074419787,-0.018118447175858546,-0.02858189071256204,-0.012086669194684315,-0.031018972975454775,-0.009976917612390949,-0.01168924381433735,-0.02434927605627328,-0.009100240606961326,-0.013272224068730947,-0.012277382858180237,-0.011899489272596868,-0.01988449402969854
-0.0047376449833794665,0.10837571903115797,0.07774129490806504,0.32318120588781096,0.01051793086286355,-0.019281909209943406,-0.003912172224803891,-0.03510347290573281,-0.008381029212030582,-0.01383232330863777,-0.027299034523940117,-0.01465499646900908,-0.01783725113838146,-0.019880604373851717,-0.026967913383565228,-0.022707721422284003,-0.03693551687222884,-0.009763555662064835,-0.017736953327066072,-0.009775023143630875,-0.022501756893613382,-0.0131744758864398,-0.014935395477169862,-0.004755523367434825,-0.01764582277566004,-0.015506438771132688,-0.011784421159149322,-0.015062109505328476,0.0011430515278349025,-0.014980055204766196,-0.016649971748024517,-0.012127324041853153,-0.015469424097035805,-0.006265024874603178
-0.003549602485054693,0.14061641672025546,0.08209205840373857,0.5634814054049505,0.010178233418207604,-0.025710656516524877,-0.023650429637228444,-0.03196554399939093,-0.04837457551162713,-0.0389358146851652,-0.03208052056520936,-0.033620996909716164,-0.029785756688993727,-0.028901893113463008,-0.023833944302740738,-0.02137881921656942,-0.01657645420290082,-0.03926667281797551,-0.017752872263930027,-0.02983225660973031,-0.00877457446250869,-0.009336210866383168,-0.029824612848916868,-0.02820236790815779,-0.032888182119716974,-0.019161623902647376,-0.0205440430388089,-0.026790182262532367,-0.03784014858827435,-0.0172476416633496,-0.025223378512026814,-0.03325793989484816,-0.021117477385541674,-0.009234126198181909
-0.006443226040411127,0.13789649196516637,0.08703447803751543,0.5265790753529158,0.010377755487712931,-0.027531842979705037,-0.02012075387022492,-0.049452401271195406,-0.030977267771400037,-0.03960620750119273,-0.021054954055767534,-0.03988237090420976,-0.028833677303122435,-0.03454489224510432,-0.031879085527426666,-0.023713603686909793,-0.029313831543888336,-0.035463167885991305,-0.017376617947246258,-0.03003693251567579,-0.041776769561841995,-0.050586945986190665,-0.03324734937845328,-0.011306689171528595,-0.02213355848728847,-0.03351467263445477,-0.028067183901849962,-0.018480844998475444,-0.010096530611658638,-0.0313921689432385,-0.03618829843302616,-0.028927374784654323,-0.04922670923598823,-0.012034278379049603
-0.00822084660261362,-0.021322950214096303,0.08308490294456441,0.5592439246402233,0.011762757937140246,-0.04514855530833452,-0.035168315307557076,-0.03391781930255321,-0.02998670134915377,-0.03209073133922547,-0.0287677068927968,-0.029314724082879398,-0.03749177316165157,-0.024304512740486204,-0.0626648903748175,-0.05173666232082424,-0.05246631239863273,-0.0351023446105319,-0.022537972948285547,-0.022960464460949133,-0.025713691376494603,-0.02459689265373529,-0.033138473269344236,-0.025811885281520806,-0.035219500308998904,-0.04940201518906076,-0.033789877523773826,-0.02567767212555747,-0.04298948237578766,-0.016179486227445253,-0.029420342016259537,-0.03337953338339778,-0.029198174939910743,-0.031471846234693526
-0.008267088086267096,0.11600753354652085,0.048023408200420815,0.5797145520170379,0.01127924067916513,-0.050105313017524196,-0.023725404704494735,-0.045811292222700126,-0.024915764152062363,-0.0502069427789132,-0.02874273552348751,-0.045482925872210075,-0.06050645619960966,-0.0267000098498314,-0.028805102846901222,-0.03485460358554357,-0.0390735786465504,-0.05178944020823468,-0.026692478044646042,-0.028971811284845564,-0.014870219613882612,-0.029338704100383643,-0.03397391130576951,-0.021734638035970602,-0.03430668953884335,-0.041269405625005424,-0.02473346548894868,-0.026802710770005653,-0.054149726577516495,-0.020460872545567308,-0.032127879470980246,-0.032484658678447124,-0.033378931741335154,-0.037662321722762473
-0.007239246431582235,-0.07562245307714335,0.0473564897099834,0.6925284731102023,0.011420207172550096,-0.03883202074408729,-0.035074368030721954,-0.019937402642954412,-0.04141627467212487,-0.05815305795648195,-0.04257056229090013,-0.027900807808452357,-0.057231919172365905,-0.04057804896783474,-0.05182789065706237,-0.031414161087840696,-0.04473156536044749,-0.011876419194941515,-0.05170643552878184,-0.030955705282567757,-0.04039691768799659,-0.025574159733014374,-0.04243783352286704,-0.027469942744047366,-0.02253213273908645,-0.039440038167253846,-0.07724581258791159,-0.032112492382103786,-0.034705988806881256,-0.013293708652714068,-0.03179224161368423,-0.024447571633946185,-0.033809851820513374,-0.03815961270019812
-0.006453174235919712,0.16261180760281274,0.06405005705733144,0.552737686849153,0.013608295708690914,-0.04861584344584967,-0.04332349682122046,-0.03508567038142136,-0.032203919398047336,-0.0384536032917347,-0.02369547292906323,-0.03285260845388882,-0.041437675024514724,-0.023854726344285038,-0.025387473628933482,-0.04124547319780488,-0.05102600345587828,-0.062238532552053034,-0.04390689577314602,-0.02349285972881413,-0.016609096689903357,-0.0500086041081801,-0.029427142215836474,-0.04400492174437032,-0.04735513822161164,-0.04874622397955854,-0.04590577546222907,-0.014156372136673284,-0.03613591917463031,-0.024202599707904376,-0.01838946949650975,-0.017653655881480813,-0.007244971202884761,-0.030914591982806133
-0.006362715614056691,0.08737444407768048,0.08404313008996855,0.6728597563835801,0.012975901669842973,-0.041897550205889776,-0.0364424313881223,-0.044738597554297814,-0.027106327672142556,-0.04121147895023456,-0.044479538841890376,-0.029290801442792717,-0.018754035429111922,-0.024821812573873604,-0.030401399443017015,-0.03600023156496935,-0.03770745019273541,-0.039514635680902827,-0.03908421594692014,-0.048128548915145675,-0.017335713493742886,-0.04447362738492748,-0.045317640589230754,-0.029306607792315996,-0.047607231779312635,-0.029636431437862248,-0.02972940815349077,-0.024023936054983125,-0.04815963416215654,-0.01781890072382396,-0.025576847600811654,-0.018667571893361375,-0.0154193696905742,-0.035719309330228335
-0.006415631803292562,0.15993061263557917,0.08187632722239332,0.5426046421025252,0.009916056127274074,-0.018405879553684022,-0.037733491776909205,-0.05326972103996284,-0.026816940461170675,-0.028952753285267568,-0.022485479967382507,-0.05122905270393248,-0.028652995063629765,-0.03372941181291362,-0.032752394360310855,-0.030593135017270328,-0.030117725459136248,-0.028127295233083358,-0.025481744939569815,-0.01836185793076539,-0.035751586738888626,-0.05072428465683195,-0.017885977921941368,-0.03495258314417725,-0.03562266278452207,-0.02314100974469438,-0.027574789804656413,-0.017989721574753283,-0.03738525248985951,-0.023921236263113984,-0.030044600715742616,-0.003703225381227548,-0.024958442154704285,-0.020101887324313665
